AnheuserB,City,STATE_ABBV,Yr_Opened,Status,Year Opened
Budweiser,St. Louis,MO,1852,O,"St. Louis, Missouri, 1852,O"
Budweiser,Newark,NJ,1951,O,"Newark, New Jersey, 1951,O"
Budweiser,Los Angeles,CA,1954,O,"Los Angeles, California, 1954,O"
Budweiser,Tampla,FL,1959,C,"Tampa, Florida, 1959,C"
Budweiser,Houston,TX,1966,O,"Houston, Texas,1966,O"
Budweiser,Columbus,OH,1968,O,"Columbus, Ohio ,1968"
Budweiser,Jacksonville,FL,1969,O,"Jacksonville, Florida,1969,O"
Budweiser,Merrimack,NH,1970,O,"Merrimack, New Hampshire,1970,O"
Budweiser,Williamsburg,VA,1972,O,"Williamsburg, Virginia,1972,O"
Budweiser,Fairfield,CA,1976,O,"Fairfield, California,1976,O"
Budweiser,Baldwinsville,NY,1983,O,"Baldwinsville, New York,1983,O"
Budweiser,Fort Collins,CO,1988,O,"Fort Collins, Colorado, 1988,O"
Budweiser,Cartersville,GA,1993,O,"Cartersville, Georgia,1993,O"
