State,STATE_ABBV,REGION,Beer_Consump
alabama,AL,Southeast,28.9
alaska ,AK,Pacific,26
arizona,AZ,Southwest,26.6
arkansas,AR,Southeast,23.7
california,CA,West,25.1
colorado,CO,West,28.3
connecticut,CT,Northeast,20.2
delaware ,DE,Southeast,28.7
district of columbia,DC,Northeast,
florida ,FL,Southeast,26.3
georgia ,GA,Southeast,24
hawaii,HI,Pacific,28.5
idaho,ID,West,25.9
illinois,IL,Midwest,27.4
indiana,IN,Midwest,23.4
iowa,IA,Midwest,31.7
kansas,KS,Midwest,25.7
kentucky,KY,Southeast,23.6
louisiana,LA,Southeast,29.6
maine,ME,Northeast,33.8
maryland ,MD,Southweast,20.2
massachusetts,MA,Northeast,23.6
michigan,MI,Midwest,25.3
minnesota,MN,Midwest,28.4
mississippi ,MS,Southeast,30.9
missouri ,MO,Midwest,27.7
montana ,MT,West,39.4
nebraska,NE,Midwest,33.3
nevada,NV,West,32.9
new hampshire,NH,Northeast,40.6
new jersey,NJ,Northeast,20.6
new mexico,NM,Southwest,28.8
new york,NY,Northeast,21.9
north carolina,NC,Southeast,25
north dakota,ND,Midwest,38.3
ohio,OH,Midwest,27.3
oklahoma,OK,Southwest,25.1
oregon,OR,West,30
pennsylvania,PA,Northeast,26.4
rhode island ,RI,Northeast,23
south carolina,SC,Southeast,30.9
south dakota,SD,Midwest,38.2
tennessee ,TN,Southeast,24.4
texas,TX,Southwest,31.8
utah,UT,West,18.7
vermont,VT,Northeast,32.8
virginia ,VA,Southeast,24.4
washington ,WA,West,24.7
west virginia,WV,Southeast,27.4
wisconsin,WI,Midwest,34.3
wyoming,WY,West,29.5
